IDENTIFIER,I am still living in the same property that I was when I got approved for Kickstarter2,Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. The answer to your question will not affect your survey payment.,What was the main reason behind you moving?,Please choose the option that best describes you most of the time:,I feel safe in my current home:2,I feel safe in the area I live:2,I feel my current rent is affordable for me.,Please choose the answer that best describes you most of the time:,"In the past 2 months, have you ever not had enough money to pay rent?","Electricity, gas or phone bill?  - No money to pay bills last 2 month",Car rego or insurance?  - No money to pay bills last 2 month,Credit cards or buy now pay later?  - No money to pay bills last 2 month,All your bills?  - No money to pay bills last 2 month,Please choose the answer that best describes you most of the time:_1
IKIAPI,Yes,,,"8. Where I'm living is working for me, with support to maintain this",Usually,Usually,Yes,"7. I'm finding ways to manage my money, but there are a few issues","No, I have been able to pay my rent in full and on time",,,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
JCGBEP,,,,,,,,,,,,,,
KNAZMP,,,,,,,,,,,,,,
XCVOSH,,,,,,,,,,,,,,
FRCIXV,,,,,,,,,,,,,,
GKFOPN,,,,,,,,,,,,,,
TNVSOY,,,,,,,,,,,,,,
JZJZJZ,,,,,,,,,,,,,,
HTMACI,,,,,,,,,,,,,,
LKWRXJ,Yes,,,10. I live independently and manage my tenancy and don't need support with this,Always,Usually,Yes,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"5. I keep my home safe, warm, and well maintained and report repairs"
JTQLCC,,,,,,,,,,,,,,
BVXEHR,,,,,,,,,,,,,,
WXXPDN,,,,,,,,,,,,,,
QAFHZX,,,,,,,,,,,,,,
TEJKIQ,,,,,,,,,,,,,,
QVMQSQ,,,,,,,,,,,,,,
QJTNZQ,,,,,,,,,,,,,,
OBCMSA,,,,,,,,,,,,,,
VIKKXC,,,,,,,,,,,,,,
UVCJCW,,,,,,,,,,,,,,
NLQFIC,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Always,Usually,Yes,10. I can manage money well enough and don't need support with this,"No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"5. I keep my home safe, warm, and well maintained and report repairs"
UCUOAL,,,,,,,,,,,,,,
SZMOCZ,,,,,,,,,,,,,,
ATPFCL,,,,,,,,,,,,,,
WUKKSB,,,,,,,,,,,,,,
RZRVYO,,,,,,,,,,,,,,
VOQMBU,,,,,,,,,,,,,,
GMDNWI,,,,,,,,,,,,,,
HZRRDD,,,,,,,,,,,,,,
NXCUYX,Yes,,,"8. Where I'm living is working for me, with support to maintain this",Usually,Usually,No,"6. I'm sorting out my money and trying to manage with what I've got, bt it's hard","Yes, I have not had enough money to pay rent for one month","I didn't have enough money to pay for an electricity, gas or phone bill on time",,,,"3. I want to look after my home better and am trying to make changes, but it's early days"
HDGZFW,,,,,,,,,,,,,,
UQVJBK,,,,,,,,,,,,,,
XQPNGQ,,,,,,,,,,,,,,
EPKJBZ,No,I am now living in a different share house or in my own home - paying rent.,Rent was increased and unable to afford new rent.,3. I sometimes get help with getting or keeping accommodation,Sometimes,Usually,Yes,3. I sometimes get help with my money,"Yes, I have not had enough money to pay rent for one month","I didn't have enough money to pay for an electricity, gas or phone bill on time",,,,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
OUSQOZ,,,,,,,,,,,,,,
BVIJSR,,,,,,,,,,,,,,
TRBQXT,,,,,,,,,,,,,,
LXQLYP,,,,,,,,,,,,,,
TZHGBR,,,,,,,,,,,,,,
EUEWOS,,,,,,,,,,,,,,
RBVJHA,,,,,,,,,,,,,,
QZCYPT,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Always,Always,No,"9. I manage my money well enough, with occasional support","Yes, I have not had enough money to pay rent for 1-3 weeks","I didn't have enough money to pay for an electricity, gas or phone bill on time",I didn't have enough money to pay for my car rego or insurance on time,,,"5. I keep my home safe, warm, and well maintained and report repairs"
WKRVAC,,,,,,,,,,,,,,
PEESMB,,,,,,,,,,,,,,
NDLXBQ,,,,,,,,,,,,,,
NLWHDD,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Rarely,Sometimes,No,"7. I'm finding ways to manage my money, but there are a few issues","No, I have been able to pay my rent in full and on time","I didn't have enough money to pay for an electricity, gas or phone bill on time",,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"5. I keep my home safe, warm, and well maintained and report repairs"
FDFVSB,,,,,,,,,,,,,,
AIDRIG,,,,,,,,,,,,,,
SLNBRV,,,,,,,,,,,,,,
WAQARC,,,,,,,,,,,,,,
OVLLNR,,,,,,,,,,,,,,
YHJEZP,,,,,,,,,,,,,,
RABVPP,,,,,,,,,,,,,,
UEVAUU,,,,,,,,,,,,,,
ZDSXWT,,,,,,,,,,,,,,
IIBAOW,,,,,,,,,,,,,,
ZQIINO,,,,,,,,,,,,,,
GGNJKR,,,,,,,,,,,,,,
DAQKWN,,,,,,,,,,,,,,
EHGLQO,,,,,,,,,,,,,,
KPEVML,,,,,,,,,,,,,,
CVYYJV,,,,,,,,,,,,,,
FVPRAZ,,,,,,,,,,,,,,
ZYXWOE,,,,,,,,,,,,,,
UZNOFV,,,,,,,,,,,,,,
UVQZAO,,,,,,,,,,,,,,
RUZLUN,,,,,,,,,,,,,,
